msg_id,duration,id,length,res
2,25.333000000000002,1,99,False
3,32.583,1,599,False
4,45.097,1,1013,False
8,36.617,2,354,False
9,41.216,2,854,False
10,54.660000000000004,2,996,False
12,48.94,3,211,False
13,57.806000000000004,3,711,False
14,56.842,3,1010,False
16,60.481,4,30,False
17,61.172,4,530,False
18,60.595000000000006,4,1010,False
27,11.889999999999999,33,414,False
28,18.811999999999998,33,914,True
29,20.556,33,1013,True
32,25.948999999999998,34,330,False
33,31.571,34,830,True
34,29.656,34,996,True
36,34.226,35,3,False
37,39.657,35,503,False
38,42.733,35,1003,True
39,43.083999999999996,35,1010,True
41,56.146,36,478,False
42,78.735,36,978,True
43,131.25,36,1010,True
50,59.007999999999996,1,198,False
51,56.016000000000005,1,698,False
52,66.01799999999999,1,1013,False
55,70.721,2,339,False
56,47.788,2,839,False
57,47.772,2,996,False
60,41.161,3,480,False
61,45.056,3,980,False
62,51.187999999999995,3,1010,False
64,47.362,4,373,False
65,54.639,4,873,False
66,53.271,4,1010,False
75,29.968,1,498,False
76,32.260999999999996,1,998,False
77,39.256,1,1013,False
80,33.247,2,271,False
81,34.715,2,771,False
82,38.697,2,996,False
84,40.07899999999999,3,132,False
85,45.986,3,632,True
86,53.392,3,1010,True
98,7.57,1,31,False
99,13.647,1,531,False
100,15.333,1,1013,False
122,9.729,1,157,False
123,15.235,1,657,False
124,25.401,1,1013,False
127,22.471999999999998,2,86,False
128,25.459,2,586,False
129,26.522000000000002,2,996,False
132,25.913999999999998,3,455,False
133,31.552999999999997,3,955,True
134,33.638,3,1010,True
147,8.314,1,428,False
148,16.266,1,928,False
149,22.802,1,1013,False
152,19.515,2,212,False
153,22.696,2,712,False
154,29.907,2,996,False
156,21.885,3,75,False
157,28.47,3,575,False
158,37.784,3,1010,False
161,30.172,4,427,False
162,28.122999999999998,4,927,False
163,31.502000000000002,4,1010,False
170,19.82,5,39,False
171,28.267,5,539,False
172,32.232,5,1013,False
176,14.541,6,310,False
177,17.621000000000002,6,810,False
178,22.435,6,996,False
181,20.183,7,489,False
182,24.674000000000003,7,989,False
183,26.779,7,1010,False
184,29.073999999999998,8,52,False
185,33.886,8,552,False
186,34.122,8,1010,False
194,13.429,5,249,False
195,13.463,5,749,True
196,23.573,5,1013,True
199,12.854000000000001,6,189,False
200,19.387,6,689,False
201,26.618,6,996,False
204,17.367,7,366,False
205,19.323,7,866,False
206,31.075,7,1010,False
208,32.057,8,32,False
209,35.88,8,532,False
210,30.185,8,1010,False
219,11.168000000000001,9,494,False
220,18.99,9,994,False
221,47.298,9,1013,False
224,51.013999999999996,10,476,False
225,63.324000000000005,10,976,False
226,51.812,10,996,False
229,58.12,11,438,False
230,25.145,11,938,False
231,36.741,11,1010,False
232,42.571,12,24,False
233,43.329,12,524,False
234,50.825,12,1010,False
242,20.116,9,241,False
243,19.509,9,741,False
244,25.329,9,1013,False
247,27.369,10,2,False
248,32.99,10,502,False
249,31.437,10,996,False
252,28.397,11,329,False
253,37.229,11,829,False
254,34.677,11,1010,False
256,40.972,12,197,False
257,38.337999999999994,12,697,False
258,37.178999999999995,12,1010,False
267,14.7,13,436,False
268,16.073,13,936,False
269,19.063,13,1013,False
271,16.635,14,111,False
272,23.331999999999997,14,611,False
273,25.881999999999998,14,996,False
276,18.142,15,374,False
277,21.871000000000002,15,874,False
278,23.697,15,1010,False
280,21.933999999999997,16,220,False
281,25.791,16,720,False
282,28.139999999999997,16,1010,False
291,11.124,13,458,False
292,16.974,13,958,False
293,26.162000000000003,13,1013,False
295,23.917,14,124,False
296,24.878999999999998,14,624,False
297,30.075999999999997,14,996,False
300,25.163999999999998,15,310,False
301,50.141,15,810,False
302,76.291,15,1010,False
304,84.123,16,132,False
305,96.056,16,632,True
306,100.854,16,1010,False
315,29.836000000000002,17,379,False
316,36.674,17,879,False
317,39.065999999999995,17,1013,False
320,31.891999999999996,18,344,False
321,40.737,18,844,False
322,43.619,18,996,False
325,38.042,19,322,False
326,42.248,19,822,False
327,45.214999999999996,19,1010,False
329,43.886,20,356,False
330,43.608000000000004,20,856,False
331,43.536,20,1010,False
339,15.346,21,391,False
340,29.222,21,891,False
341,35.311,21,1013,False
343,33.641,22,70,False
344,39.506,22,570,False
345,40.853,22,996,False
348,38.839999999999996,23,7,False
349,37.002,23,507,False
350,40.508,23,1007,False
351,42.158,23,1010,False
353,39.922,24,476,False
354,37.805,24,976,False
355,39.869,24,1010,False
363,11.213000000000001,25,435,False
364,11.568,25,935,False
365,18.316,25,1013,False
368,14.562000000000001,26,440,False
369,15.98,26,940,False
370,19.087,26,996,False
372,17.549,27,336,False
373,23.514,27,836,False
374,30.207,27,1010,False
376,29.176000000000002,28,206,False
377,35.687000000000005,28,706,False
378,31.236,28,1010,False
386,20.95,29,248,False
387,35.401,29,748,False
388,45.227000000000004,29,1013,False
391,40.874,30,126,False
392,47.793,30,626,False
393,50.671,30,996,False
396,30.959,31,425,False
397,38.483999999999995,31,925,True
398,44.376,31,1010,True
400,38.552,32,33,False
401,50.394,32,533,False
402,52.521,32,1010,True
